album_id,album_title,link
1,Sgt. Pepper's Lonely Hearts Club Band,https://www.youtube.com/watch?v=uPTWin_QJCI
468,The Paul Butterfield Blues Band
469,The Score
470,Radio
471,I Want to See the Bright Lights Tonight
472,Faith
473,The Smiths
474,Proxima estacion: Esperanza
475,Armed Forces
476,Life After Death
477,Down Every Road
478,All Time Greatest Hits
479,Maggot Brain
480,Only Built 4 Cuban Linx
481,Voodoo
482,Guitar Town
483,Entertainment!
484,All the Young Dudes
485,Vitalogy
486,That's the Way of the World
487,She's So Unusual
488,New Day Rising
489,Destroyer
490,Tres hombres
491,Born Under a Bad Sign
492,Touch
493,Yankee Hotel Foxtrot
494,Oracular Spectacular
495,Give It Up
496,Boz Scaggs
497,White Blood Cells
498,The Stone Roses
499,Live in Cook County Jail
500,Aquemini
