album_id,album_title,link
191,Fun House,https://www.youtube.com/watch?v=1OedEgzDl_I&ab_channel=WaltOnFire
192,The Gilded Palace of Sin,https://www.youtube.com/watch?v=7f2g4IDxlEk&list=PLX66jEixZe1y4paTM0deBNhE8wJhnJR8x&ab_channel=TheFlyingBurritoBrothers-Topic
193,Dookie,https://www.youtube.com/watch?v=koyYZc6hS-s&ab_channel=davidyowel
194,Transformer,https://www.youtube.com/watch?v=cUi_ZUJXygU&ab_channel=lethalintoxication4900
195,"Blues Breakers With Eric Clapton (""The Beano Album"")",https://www.youtube.com/watch?v=mm7Tza6q2hA&ab_channel=vinylrecord
196,"Nuggets: Original Artyfacts From the First Psychedelic Era, 1965-1968",https://www.youtube.com/watch?v=Gf78ol1YwXE&ab_channel=SevmaiSol
197,Murmur,https://www.youtube.com/watch?v=wVkx15WKJMs&ab_channel=RockDuk%EB%9D%BD%EB%8D%AC
198,The Best of Little Walter,https://www.youtube.com/watch?v=Co0WwRKmco8&ab_channel=RustyJamesboy
199,Is This It,https://www.youtube.com/watch?v=0a5Wnuxe5x4&ab_channel=IrishO%27African
200,Highway to Hell,https://www.youtube.com/watch?v=6CwIB6pQoPo&ab_channel=IrishO%27African
201,The Downward Spiral,https://www.youtube.com/watch?v=htofkr4Fh3Q&ab_channel=IrishO%27African
202,"Parsley, Sage, Rosemary and Thyme"
203,Bad
204,Modern Times
205,Wheels of Fire
206,Dirty Mind
207,Abraxas
208,Tea for the Tillerman
209,Ten
210,Everybody Knows This Is Nowhere
211,Wish You Were Here
212,Crooked Rain Crooked Rain
213,Tattoo You
214,Proud Mary: The Best of Ike and Tina Turner
215,New York Dolls
216,Bo Diddley / Go Bo Diddley
217,Two Steps From the Blues
218,The Queen Is Dead
219,Licensed to Ill
220,Look-Ka Py Py
221,Loveless
222,New Orleans Piano
223,War
224,The Neil Diamond Collection
225,American Idiot
226,Nebraska
227,Doolittle
228,Paid in Full
229,Toys in the Attic
230,Nick of Time
231,A Night at the Opera
232,The Kink Kronikles
233,Mr. Tambourine Man
234,Bookends
235,The Ultimate Collection
236,Mr. Excitement!
237,My Generation
238,Howlin' Wolf
239,Like a Prayer
240,Can't Buy a Thrill
241,Let It Be
242,Run D.M.C.
243,Black Sabbath
244,The Marshall Mathers LP
245,All Killer No Filler! The Jerry Lee Lewis Anthology
246,Freak Out!
247,Live/Dead
248,The Shape of Jazz to Come
249,Automatic for the People
250,Reasonable Doubt
251,Low
252,The Blueprint
253,The River
254,Complete & Unbelievable: The Otis Redding Dictionary of Soul
255,"Metallica (""The Black Album"")"
256,Trans Europa Express
257,Whitney Houston
258,The Kinks Are The Village Green Preservation Society
259,The Velvet Rope
260,Stardust
261,American Beauty
262,"Crosby, Stills & Nash"
263,Tracy Chapman
264,Workingman's Dead
265,The Genius of Ray Charles
266,Child Is Father to the Man
267,Quadrophenia
268,Paul Simon
269,Psychocandy
270,Some Girls
271,The Beach Boys Today!
272,Dig Me Out
273,Going to a Go-Go
274,Nightbirds
275,The Slim Shady LP
276,Mothership Connection
277,Rhythm Nation 1814
